image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,Mood,Project,Family,Shade,Interior/Exterior,cdp,Color Collection
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-154-lily-lavender-2071-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2071-60/lily-lavender,"['Lily Lavender', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2071-60/lily-lavender,2024-07-30T13:18:55Z,Lily Lavender 2071-60 | Benjamin Moore,2024-07-30T13:18:54Z,Color,"Drawing color inspiration from two beloved flowers, this blush-tinged purple is packed with charm.",3f88b9182886923935a63a722107803bf9d52561,1,,"{'description': 'Drawing color inspiration from two beloved flowers, this blush-tinged <em>purple</em> is packed with charm.'}",624260ea196a670e7d896c32,2071-60,,,DBCEE8,Lily Lavender,,,Bright,"['Bathroom', 'Bedroom', 'Cabinet', 'Living Room']",Violet,Light,Interior,true,Color Preview&reg;
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-161-lavender-mist-2070-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2070-60/lavender-mist,"['Lavender Mist', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2070-60/lavender-mist,2024-07-21T23:14:23Z,Lavender Mist 2070-60 | Benjamin Moore,2024-07-21T23:14:22Z,Color,A gentle shade of violet further softened by a hint of gray.,3f2615e9528793f96a79d43e20aa036188b61282,1,,{},6242aa6f64441f40030039de,2070-60,Light,Cool,CFCFE0,Lavender Mist,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-154-mystical-grape-2071-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2071-30/mystical-grape,"['Mystical Grape', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2071-30/mystical-grape,2024-07-30T17:23:57Z,Mystical Grape 2071-30 | Benjamin Moore,2024-07-30T17:23:57Z,Color,"A lush, elegant purple that has a playful side.",0e31dc0e935a49177bcb61c59f157e682ba9de29,1,,"{'description': 'A lush, elegant <em>purple</em> that has a playful side.'}",62424b9564441fe835005958,2071-30,,,664B86,Mystical Grape,,,Bright,Cabinet,Violet,Dark,Interior,true,Color Preview&reg;
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-178-cinnamon-slate-2113-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2113-40/cinnamon-slate,"['Cinnamon Slate', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2113-40/cinnamon-slate,2024-07-21T12:34:24Z,Cinnamon Slate 2113-40 | Benjamin Moore,2024-07-21T12:34:23Z,Color,A dusty purple with alluring hints of gray and brown.,d4723fbe8e8db1f7166cc8aba1f521963659d92c,1,,{'description': 'A dusty <em>purple</em> with alluring hints of gray and brown.'},62427191196a67ac2189639c,2113-40,Dark,Warm,897475,Cinnamon Slate,Gray,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-155-purple-heart-1406-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1406/purple-heart,"['Purple Heart', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1406/purple-heart,2024-07-21T23:14:22Z,Purple Heart 1406 | Benjamin Moore,2024-07-21T23:14:22Z,Color,A mid-tone purple that captures the young at heart.,70c7f1d60f193b68bae438facbc4e89e9d684e45,1,,"{'title': '<em>Purple</em> Heart 1406 | Benjamin Moore', 'sections': '<em>Purple</em> Heart', 'description': 'A mid-tone <em>purple</em> that captures the young at heart.', 'color_name': '<em>Purple</em> Heart', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1406&#x2F;<em>purple</em>-heart'}",6242c5bfe7b9d23e910f5c85,1406,Medium,Cool,897EAA,Purple Heart,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-157-purple-haze-1413-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1413/purple-haze,"['Purple Haze', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1413/purple-haze,2024-07-21T23:24:03Z,Purple Haze 1413 | Benjamin Moore,2024-07-21T23:24:03Z,Color,"With its generous dose of gray, this smoky plum conjures the enigmatic allure of a darkening sky.",0912d1dfe597b4c523e43bdd502f4eba1527cfca,1,,"{'title': '<em>Purple</em> Haze 1413 | Benjamin Moore', 'sections': '<em>Purple</em> Haze', 'color_name': '<em>Purple</em> Haze', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1413&#x2F;<em>purple</em>-haze'}",63e79d7f28ccbc705f855c76,1413,Medium,Cool,827F92,Purple Haze,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-177-victorian-purple-1370-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1370/victorian-purple,"['Victorian Purple', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1370/victorian-purple,2024-07-22T03:39:28Z,Victorian Purple 1370 | Benjamin Moore,2024-07-22T03:39:27Z,Color,A regal violet with lavish charm.,69d81bc7ac021be74020906e3c871637957df3ea,1,,"{'title': 'Victorian <em>Purple</em> 1370 | Benjamin Moore', 'sections': 'Victorian <em>Purple</em>', 'color_name': 'Victorian <em>Purple</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1370&#x2F;victorian-<em>purple</em>'}",6242d58864441fae5000502f,1370,Medium,Warm,BD90AE,Victorian Purple,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-157-purple-haze-CC-980-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-980/purple-haze,"['Purple Haze', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-980/purple-haze,2024-07-21T16:23:29Z,Purple Haze CC-980 | Benjamin Moore,2024-07-03T11:20:45Z,Color,"With its generous dose of gray, this smoky plum conjures the enigmatic allure of a darkening sky.",24c1982b31ad8c164d2199b7c9f3d023a882e914,1,,"{'title': '<em>Purple</em> Haze CC-980 | Benjamin Moore', 'sections': '<em>Purple</em> Haze', 'color_name': '<em>Purple</em> Haze', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cc-980&#x2F;<em>purple</em>-haze'}",62424e8064441f4aa800433b,CC-980,Medium,Cool,827F92,Purple Haze,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-172-autumn-purple-2073-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2073-20/autumn-purple,"['Autumn Purple', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2073-20/autumn-purple,2024-07-22T00:27:51Z,Autumn Purple 2073-20 | Benjamin Moore,2024-07-22T00:27:50Z,Color,"A deep plum that evokes the rich, vivid tapestry that comes with the changing of the seasons.",89124d3be9f82fe40210cb797cd69fb230c93728,1,,"{'title': 'Autumn <em>Purple</em> 2073-20 | Benjamin Moore', 'sections': 'Autumn <em>Purple</em>', 'color_name': 'Autumn <em>Purple</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2073-20&#x2F;autumn-<em>purple</em>'}",6242d64028ccbc5061dd9df7,2073-20,Dark,Warm,5D3D54,Autumn Purple,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-172-purple-hyacinth-2073-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2073-40/purple-hyacinth,"['Purple Hyacinth', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2073-40/purple-hyacinth,2024-07-22T03:52:14Z,Purple Hyacinth 2073-40 | Benjamin Moore,2024-07-22T03:52:14Z,Color,A pink-tinged mauve that inspires thoughts of fragrant spring blossoms.,a907539df932771ca53851fbb12b12f781bf38bc,1,,"{'title': '<em>Purple</em> Hyacinth 2073-40 | Benjamin Moore', 'sections': '<em>Purple</em> Hyacinth', 'color_name': '<em>Purple</em> Hyacinth', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2073-40&#x2F;<em>purple</em>-hyacinth'}",6242d59328ccbc3acddda98d,2073-40,Medium,Warm,AA7FA5,Purple Hyacinth,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-172-purple-cream-2073-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2073-70/purple-cream,"['Purple Cream', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2073-70/purple-cream,2024-07-22T04:42:29Z,Purple Cream 2073-70 | Benjamin Moore,2024-07-22T04:42:29Z,Color,A soft lilac that feels as light and fluffy as a cream-filled confection.,9adde5a6a71c7a53ad35ff2e25d2a572a01e325c,1,,"{'title': '<em>Purple</em> Cream 2073-70 | Benjamin Moore', 'sections': '<em>Purple</em> Cream', 'color_name': '<em>Purple</em> Cream', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2073-70&#x2F;<em>purple</em>-cream'}",6242c6c864441f7ec90043e0,2073-70,Light,Warm,F0E3EC,Purple Cream,,,,,,,,,
