color_name,color_code,color_fam
Wooded Vista,1162,orange
Maplewood,1133,orange
Cattail,CSP-295,orange
Kona,AF-165,orange
Brown Tar,2110-20,orange
Gentle Repose,1149,orange
Terra Bella,AF-195,orange
Metallic Gold,2163-40,orange
Penny,2163-30,orange
Pony Brown,2163-20,orange
Grandfather Clock Brown,2096-30,orange
Seed Brown,2096-10,orange
French Manicure,1086,orange
Sheraton Beige,HC-57,orange
Grazing Fawn,1220,orange
Serengeti Sand,2164-40,orange
Rich Clay Brown,2164-30,orange
Marsh Brown,2164-20,orange
Saddle Brown,2164-10,orange
Amelia Blush,085,orange
Dearborn Tan,1153,orange
Wilderness Cabin,1168,orange
Potters Clay,1221,orange
Old Canal,1132,orange
Log Cabin,2163-10,orange
Hidden Valley,1134,orange
Adobe White,2166-70,orange
Apricot Tint,086,orange
Casabella,102,orange
Mountain Hideaway,1154,orange
Fire Glow,CSP-1095,orange
Cappuccino Muffin,1155,orange
Masada,AF-220,orange
Apricot Ice,2015-70,orange
Tudor Cream,2157-60,orange
Hathaway Peach,HC-53,orange
Sweet 'n Sour,103,orange
Peach Brandy,112,orange
Pumpkin Pie,2167-20,orange
Gold Rush,2166-10,orange
Gerbera Daisy,2015-60,orange
Peach Stone,094,orange
Soft Salmon,096,orange
Tooty Fruity,089,orange
Butterfly Wings,090,orange
Tangerine Melt,091,orange
Electric Orange,2015-10,orange
Apricot Chiffon,136,orange
Funky Fruit,2015-50,orange
Peach Pudding,137,orange
Vivid Beauty,138,orange
Party Peach,139,orange
Calypso Orange,2015-30,orange
Orange Burst,2015-20,orange
Peach Cider,135,orange
Crisp Straw,2157-50,orange
Citrus Blossom,123,orange
Ansonia Peach,HC-52,orange
Soft Pumpkin,2166-40,orange
Harvest Moon,2167-30,orange
Burnt Caramel,2167-10,orange
Georgia On My Mind,134,orange
Jumel Peachtone,HC-54,orange
Persian Melon,117,orange
Starfish,110,orange
Rio Rancho Clay,111,orange
Buttered Yam,AF-230,orange
Caramel Latte,2166-20,orange
Arizona Peach,092,orange
Melon Ice,106,orange
Crestwood Tan,116,orange
Beeswax,2157-40,orange
Grand Canyon,118,orange
Cornucopia Tan,119,orange
Bronze Tone,2166-30,orange
Delicate Peach,120,orange
Peach Complexion,115,orange
Tangerine Mist,129,orange
Orange Sherbet,122,orange
Peach Sorbet,2015-40,orange
Antelope Canyon,125,orange
14 Carrots,CSP-1110,orange
Winter Melon,093,orange
Sweet Melon,121,orange
Peach Jam,130,orange
Seville Oranges,131,orange
Tangerine Zing,132,orange
Carrot Stick,2016-30,orange
Startling Orange,2016-10,orange
Lion Yellow,2158-60,orange
Creamy Beige,2016-60,orange
Melon Popsicle,2016-50,orange
Marmalade,2016-40,orange
New Dawn,133,orange
Fruit Punch,140,orange
Citrus Orange,2016-20,orange
Woodland Snow,2161-70,orange
Florida Seashells,128,orange
Manila,2158-50,orange
Pineapple Orange,158,orange
Orange Appeal,124,orange
Pumpkin Spice,126,orange
Peruvian Chili,CSP-1100,orange
Ivory Tower,2157-70,orange
Beachcrest Sand,114,orange
Cantaloupe,157,orange
Soft Marigold,160,orange
Butterscotch,2157-30,orange
Golden Harvest,2157-20,orange
Golden Dunes,2157-10,orange
Soft Beige,2156-60,orange
Sweet Nectar,156,orange
Asbury Sand,2156-50,orange
August Morning,2156-40,orange
Brilliant Amber,161,orange
Jack O'Lantern,2156-30,orange
Autumn Orange,2156-10,orange
Lychee,AF-40,orange
Pumpkin Seeds,113,orange
Natural Sand,2165-50,orange
Golden Mist,2158-40,orange
Harvest Bronze,1146,orange
Amber,168,orange
Pumpkin Blush,2156-20,orange
Hazelnut Cream,2161-60,orange
Yellow Squash,2161-50,orange
Face Powder,CSP-1085,orange
Approaching Autumn,CSP-1090,orange
Warm Sunglow,CSP-1070,orange
Butterscotch Sundae,1147,orange
Byzantine,CSP-1075,orange
Mystic Beige,2162-60,orange
Home Sweet Home,1088,orange
Tucson Tan,1144,orange
Natural Leather,CSP-1065,orange
Toffee Cream,1138,orange
Maryville Brown,HC-75,orange
Glenwood Brown,1141,orange
Creamy Satin,1087,orange
Lingerie,AF-200,orange
Hidden Oaks,1129,orange
Cafe Royal,1130,orange
Jackson Tan,HC-46,orange
Lake Shore Trail,1084,orange
Vero Beach Tan,1085,orange
Arizona Tan,2162-50,orange
Chilled Chardonnay,1089,orange
Farm Fresh,AF-360,orange
Autumn Leaf,1131,orange
Café au Lait,CSP-290,orange
Valley Forge Brown,HC-74,orange
Plymouth Brown,HC-73,orange
Powder Puff,1143,orange
Acorn Yellow,2161-40,orange
Butternut Squash,1090,orange
Warm Apple Crisp,1091,orange
Glazed Pear,1092,orange
Runyon Canyon Tan,1140,orange
Honeycomb,1120,orange
Heartsmere,1114,orange
Creamy Custard,1145,orange
Harbor Highlands Tan,1139,orange
Cognac Snifter,1148,orange
Tawny,2161-20,orange
Coppertone,2161-10,orange
Mexican Hot Chocolate,CSP-1080,orange
Flawless,AF-320,orange
Mohave Desert,1115,orange
Sepia Tan,1116,orange
Guesthouse,1117,orange
Desert Beach,1104,orange
Maple Syrup,1105,orange
Etruscan,AF-355,orange
Durango Dust,2165-60,orange
Chamois,1108,orange
Monarch Gold,1109,orange
Barley Harvest,1070,orange
Peanut Shell,2162-40,orange
Fairmont Gold,1071,orange
Dark Mustard,2161-30,orange
Handmade,AF-325,orange
Glowing Apricot,165,orange
Peach Crisp,159,orange
Old Gold,167,orange
Delightful Golden,2158-30,orange
Venetian Gold,2158-20,orange
Dried Mustard,2158-10,orange
Birmingham Cream,164,orange
Wheatfield,2159-50,orange
Golden Light,143,orange
Honey Burst,144,orange
Honeybell,145,orange
Golden Archway,146,orange
Fruity Cocktail,147,orange
White Cloud,2159-70,orange
Pale Daffodil,2017-60,orange
Yellow Haze,2017-50,orange
Sweet Orange,2017-40,orange
Tangelo,2017-30,orange
Sharp Cheddar,2017-20,orange
Orange Juice,2017-10,orange
Fine China,2156-70,orange
Pineapple Smoothy,142,orange
Peach Yogurt,150,orange
Orange Froth,151,orange
Florida Orange,152,orange
Fresh Fruit,153,orange
Mango Punch,154,orange
Cancun Sand,2016-70,orange
Country White,898,orange
Secluded Beach,899,orange
Amber Waves,2159-40,orange
Orange Ice,166,orange
Eye of the Tiger,188,orange
Morgan Hill Gold,189,orange
Rich Cream,2153-60,orange
Cookie Dough,916,orange
Somerset Peach,163,orange
Oklahoma Wheat,2160-50,orange
Roasted Sesame Seed,2160-40,orange
Golden Retriever,2165-30,orange
Golden Meadow,2165-20,orange
White Mountains,906,orange
Point Pleasant,155,orange
Hilton Head Cream,1107,orange
Fennel Seed,1101,orange
Dark Beige,2165-40,orange
Roxbury Caramel,HC-42,orange
Richmond Gold,HC-41,orange
Kansas Grain,2160-60,orange
Cream,2159-60,orange
Precious Ivory,185,orange
Boardwalk,1102,orange
Camel Back,1103,orange
Gladstone Tan,1106,orange
Greenfield Pumpkin,HC-40,orange
Peach Pie,127,orange
Jicama,AF-315,orange
Safari,AF-335,orange
Tawny Bisque,1110,orange
Sandy Valley,1112,orange
Gingersnaps,1063,orange
Warm Tan,2162-30,orange
Ylang Ylang,AF-305,orange
Sundial,1100,orange
Harvest Time,186,orange
Honeymoon,AF-345,orange
Graham Cracker,1113,orange
Gettysburgh Gold,1064,orange
Autumn Bronze,2162-10,orange
Cotton Tail,2155-70,orange
Hepplewhite Ivory,HC-36,orange
Key West Ivory,192,orange
Goldfinch,187,orange
Gingerbread Man,1111,orange
Camel,2165-10,orange
Desert Camel,2162-20,orange
White Vanilla,2017-70,orange
Filtered Sunlight,2154-60,orange
Porter Ranch Cream,148,orange
Desert Tan,2153-50,orange
Maple Sugar,2160-30,orange
Turmeric,2160-20,orange
Caramel Corn,2160-10,orange
Citrus Mist,141,orange
San Mateo Beaches,924,orange
Straw,2154-50,orange
Semolina,2155-40,orange
Yellow Marigold,2155-30,orange
Gold Mine,2155-20,orange
Desert Sunset,2155-10,orange
Cream Yellow,2155-60,orange
Sun Blossom,149,orange
